event_id,site_id,start_date,end_date,peak_date,duration_days,peak_zscore,mean_zscore,detection_methods,vote_count_max,ground_truth_label,ground_truth_confidence,label_source,label_kind,consensus_status,agreement_ratio,judge_models,n_judges,n_valid_judges,rationale,key_evidence,data_gaps,raw_labels,raw_confidences,silver_original
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,2023-12-27,2023-12-27,1,0.0,0.0,,2,epidemic,0.45,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"While there is a slight increase in clinical follow-up (17.38%), it does not exceed the 20% threshold required for a definitive epidemic label. Additionally, there is moderate rainfall (11.7mm) which complicates the interpretation of the anomaly. | The wastewater signal shows a small increase, but the clinical data is at the state level and shows a stable trend with a slight increase in the 7-day average admissions. There is a variant shift to JN.1, but the clinical data does not strongly support an epidemic. Rainfall is present but not at a level to strongly suggest environmental cause. The derived assessment does not indicate an epidemic candidate.","[""Clinical follow-up change of 17.38% is below the epidemic threshold of 20%."", ""Moderate rainfall of 11.7mm may influence wastewater signal."", ""Wastewater signal shows a 3.1% increase vs context."", ""State-level hospitalization data shows a stable trend."", ""Variant shift to JN.1 is occurring.""]","[""No clear evidence of a significant clinical rise."", ""Lack of nearby site data to confirm regional patterns."", ""Lack of clinical data at the site level."", ""Missing temperature data.""]","[""uncertain"", ""uncertain"", ""environmental""]","[0.5, 0.4, 0.7]",uncertain
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,2024-03-12,2024-03-12,1,0.0,0.0,,2,sampling,0.7,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event is a single-day dip in viral concentration with no supporting evidence of environmental factors, clinical changes, or regional trends. The derived assessment also flags it as an isolated spike candidate. | Isolated event with no significant environmental or clinical changes","[""Single day event."", ""No rainfall."", ""Flow is not above the 90th percentile."", ""Hospital admissions are decreasing during the event window."", ""No nearby sites show a similar trend."", ""No rainfall detected"", ""Slight flow increase (83.2 percentile) but not significant"", ""Hospitalization trend is stable/declining""]","[""Limited weather data"", ""No nearby site comparisons""]","[""uncertain"", ""sampling"", ""sampling""]","[0.0, 0.7, 0.7]",sampling
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,2024-06-27,2024-06-25,3,0.0,0.0,,2,uncertain,0.45,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"There is no clinical follow-up data available to assess any rise in hospitalizations, and while there is a variant shift, it does not confirm an epidemic. Environmental conditions show no significant rainfall or flow changes. | The event has no clinical data and no significant environmental factors. There is a variant shift from KP.2 to KP.3, but without clinical data, it is difficult to assess the impact.","[""No clinical follow-up data available to assess hospitalization changes."", ""No significant environmental perturbation (0.0mm rainfall, low flow percentiles)."", ""Variant shift occurred but lacks supporting clinical evidence."", ""No significant rainfall (0.0mm) or high flow (max percentile 0.144)."", ""No hospitalization data available."", ""Variant shift from KP.2 to KP.3.""]","[""Missing clinical hospitalization data during the anomaly period."", ""No nearby sites to compare for regional patterns."", ""Hospitalization data is missing."", ""Temperature data is missing.""]","[""uncertain"", ""uncertain"", ""sampling""]","[0.5, 0.4, 0.6]",uncertain
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,2024-08-08,2024-08-08,1,0.0,0.0,,3,sampling,0.775,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event occurred during a period of heavy rainfall (30.5mm on 2024-08-06), which likely diluted the wastewater sample. The flow was not exceptionally high (86th percentile), but the rainfall is a more significant factor. | Significant rainfall of 30.5mm on 2024-08-06 with high flow percentile, indicating a clear environmental distortion","[""Significant rainfall event (30.5mm) occurred on 2024-08-06."", ""Flow at 86th percentile."", ""Heavy rain event of 30.5mm on 2024-08-06"", ""Flow percentile reaching 0.867 (near 90th percentile)"", ""No clinical hospitalization data available"", ""Isolated spike in wastewater concentration""]","[""No clinical data available for this site."", ""Missing temperature data"", ""No clinical hospitalization records"", ""No nearby site comparisons""]","[""sampling"", ""environmental"", ""environmental""]","[0.9, 0.7, 0.85]",environmental
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,2024-09-10,2024-09-10,1,0.0,0.0,,4,environmental,0.9,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event occurred during a period of heavy rainfall (42.2mm total, 40.9mm max in one day). The flow rate was not elevated. There is no clinical data available. | Significant rainfall of 42.2mm with a single heavy rain event of 40.9mm on 2024-09-08, causing environmental distortion in wastewater signal","[""Significant rainfall event (42.2mm total, 40.9mm max) during the event period."", ""Flow rate is not elevated (max percentile 0.318)."", ""No clinical data available."", ""Total rainfall of 42.2mm in 3-day period"", ""Heavy rain event of 40.9mm on 2024-09-08"", ""No clinical hospitalization data available"", ""No variant shift detected""]","[""Clinical data is missing."", ""Missing temperature data"", ""No hospitalization data provided""]","[""sampling"", ""environmental"", ""environmental""]","[0.9, 0.9, 0.9]",environmental
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,2025-01-02,2025-01-02,1,0.0,0.0,,3,uncertain,0.6,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event is an isolated spike with no rainfall, flow, hospitalization, or variant shift support. The derived assessment also flags it as an isolated spike candidate. | Minimal signal change, no environmental or clinical evidence to support an epidemic or environmental event","[""No significant rainfall (0.0mm) or high flow (max percentile 0.453)."", ""No hospitalization data available for the period."", ""No variant shift detected."", ""Derived assessment identifies the event as an isolated spike candidate."", ""Local concentration change of only 1.79%"", ""No rainfall recorded"", ""Flow within normal percentile range (0.4)"", ""No hospitalization data available""]","[""Hospitalization data is missing."", ""Missing hospitalization data"", ""No nearby site comparisons"", ""Incomplete weather records""]","[""uncertain"", ""sampling"", ""sampling""]","[0.5, 0.6, 0.6]",sampling
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,2025-01-30,2025-01-30,1,0.0,0.0,,2,uncertain,0.45,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The evidence does not provide clear clinical follow-up data or significant environmental perturbation to support a definitive label. There is a variant shift, but no rise in hospitalizations or environmental factors are present. | The event shows a variant shift to XEC, but lacks clinical data and has a small concentration decrease. No rain or high flow is present. The lack of clinical data makes it difficult to assess the impact of the variant shift.","[""No significant rainfall or flow observed during the event."", ""No clinical follow-up data available to indicate a rise in hospitalizations."", ""Variant shift to XEC is observed."", ""No significant rainfall or high flow."", ""Hospitalization data is missing.""]","[""Lack of clinical hospitalization data during the relevant period."", ""No nearby sites showing similar trends."", ""Hospitalization data is missing."", ""No nearby sites to compare trends.""]","[""uncertain"", ""uncertain"", ""sampling""]","[0.5, 0.4, 0.6]",uncertain
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,2025-02-04,2025-02-04,1,0.0,0.0,,2,sampling,0.7,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event is an isolated concentration decrease with no supporting evidence of environmental factors, clinical changes, or variant shifts. The local change percentage is -1.53%, which is a slight decrease. The derived assessment also indicates that the event is not an epidemic or mixed candidate. | Isolated event with no significant environmental or clinical changes","[""No significant rainfall (0.0mm) or high flow (max percentile 0.664)."", ""No clinical data available for the site."", ""No variant shift detected."", ""The event is flagged as not an epidemic or mixed candidate in the derived assessment."", ""No rainfall detected (0.0mm)"", ""Flow within normal percentile range (0.646 mean percentile)"", ""No hospitalization data available"", ""No variant shifts detected""]","[""Clinical data at the site level is missing."", ""Missing hospitalization data"", ""No nearby site comparisons"", ""Incomplete weather information""]","[""uncertain"", ""sampling"", ""sampling""]","[0.5, 0.7, 0.7]",sampling
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,2025-07-03,2025-07-03,1,0.0,0.0,,2,uncertain,0.775,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event occurred during a period of heavy rainfall (26.2mm on the peak date, 37.1mm total in the 3-day period). There is no clinical data available to assess any potential rise in hospitalizations. Flow rates are not elevated. | Significant rainfall event with 26.2mm precipitation on peak date, exceeding environmental threshold, with no clinical hospitalization data to support an epidemic interpretation","[""Significant rainfall event: 26.2mm on peak date, 37.1mm total in 3 days."", ""Flow rates are not elevated (max percentile 0.282)."", ""No clinical data available."", ""Peak rainfall of 26.2mm on 2025-07-03"", ""Total 3-day rainfall of 37.1mm"", ""No clinical hospitalization data available"", ""No significant flow variation (discharge percentile near 0.27)""]","[""Clinical data is missing."", ""Missing temperature data"", ""No hospitalization admission records"", ""No nearby site comparisons""]","[""uncertain"", ""environmental"", ""environmental""]","[0.5, 0.7, 0.85]",environmental
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,2025-08-28,2025-08-28,1,0.0,0.0,,2,uncertain,0.65,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event is an isolated spike with no clinical follow-up, no significant rainfall, and no nearby sites showing similar trends. The flow is not high. | Isolated signal with no environmental or clinical support, low change percentage, and no significant contextual shifts","[""No significant rainfall (0.0mm)."", ""Flow is not high (max percentile 0.338)."", ""No clinical data available."", ""No nearby sites with similar trends."", ""Local change percentage is only 4.56%"", ""No rainfall detected (0.0mm)"", ""Flow percentile within normal range (0.338)"", ""No hospitalization data available""]","[""Clinical data is missing."", ""Missing temperature data"", ""No hospitalization records"", ""Limited nearby site comparisons""]","[""uncertain"", ""sampling"", ""sampling""]","[0.5, 0.7, 0.6]",sampling
