method,n_samples,accuracy,macro_f1,weighted_f1,cohen_kappa,epidemic_precision,epidemic_recall,epidemic_f1,epidemic_support,environmental_precision,environmental_recall,environmental_f1,environmental_support,sampling_precision,sampling_recall,sampling_f1,sampling_support,mixed_precision,mixed_recall,mixed_f1,mixed_support,uncertain_precision,uncertain_recall,uncertain_f1,uncertain_support,prediction_rows,missing_predictions,coverage,avg_tokens,avg_tool_calls,source_file
v6_gpt4omini,199,0.7889447236180904,0.7668116460738851,0.7753583438026709,0.6187739463601531,0.75,0.8181818181818182,0.782608695652174,22,0.72,0.9473684210526316,0.8181818181818182,19,0.8449612403100775,0.872,0.8582677165354331,125,1.0,1.0,1.0,3,0.5,0.3,0.375,30,199,0,1.0,5606.587939698493,3.1155778894472363,investigation_results_v6_gpt4omini.csv
qwen3_5_27b,199,0.7487437185929648,0.7587412663458662,0.756297363718246,0.5631749934146983,0.782608695652174,0.8181818181818182,0.8,22,0.8235294117647058,0.7368421052631579,0.7777777777777778,19,0.8487394957983193,0.808,0.8278688524590164,125,1.0,1.0,1.0,3,0.3513513513513513,0.4333333333333333,0.3880597014925373,30,190,9,0.9547738693467336,24980.70351758794,3.894472361809045,investigation_results_qwen3_5_27b.csv
grok41_fast,199,0.7738693467336684,0.7474650952911823,0.7590123201877627,0.5955284552845528,0.6333333333333333,0.8636363636363636,0.7307692307692307,22,0.7391304347826086,0.8947368421052632,0.8095238095238095,19,0.84251968503937,0.856,0.8492063492063492,125,1.0,1.0,1.0,3,0.5,0.2666666666666666,0.3478260869565217,30,199,0,1.0,10922.236180904523,3.1105527638190957,investigation_results_grok41_fast.csv
haiku45,199,0.7537688442211056,0.7292856015399484,0.7464342234394903,0.5583986232507585,0.75,0.8181818181818182,0.782608695652174,22,0.6363636363636364,0.7368421052631579,0.6829268292682927,19,0.8346456692913385,0.848,0.8412698412698413,125,1.0,1.0,1.0,3,0.391304347826087,0.3,0.3396226415094339,30,199,0,1.0,11212.668341708542,2.170854271356784,investigation_results_haiku45.csv
gpt54_nano,199,0.7487437185929648,0.7262282071298465,0.7510314714347172,0.5726679264731146,0.782608695652174,0.8181818181818182,0.8,22,0.6538461538461539,0.8947368421052632,0.7555555555555555,19,0.8608695652173913,0.792,0.825,125,0.75,1.0,0.8571428571428571,3,0.3870967741935484,0.4,0.3934426229508196,30,199,0,1.0,6371.869346733668,3.3115577889447234,investigation_results_gpt54_nano.csv
minimax47,199,0.7989949748743719,0.7255222188285069,0.7764937062540701,0.6253941361946445,0.6551724137931034,0.8636363636363636,0.7450980392156863,22,0.8333333333333334,0.7894736842105263,0.8108108108108109,19,0.8455882352941176,0.92,0.8812260536398467,125,0.75,1.0,0.8571428571428571,3,0.5833333333333334,0.2333333333333333,0.3333333333333333,30,199,0,1.0,16031.507537688442,3.4522613065326637,investigation_results_minimax47.csv
kimi_k25,199,0.7587939698492462,0.7102529884546536,0.7426055925675207,0.5663897589541059,0.6428571428571429,0.8181818181818182,0.72,22,0.6521739130434783,0.7894736842105263,0.7142857142857143,19,0.8515625,0.872,0.8616600790513834,125,1.0,1.0,1.0,3,0.3529411764705882,0.2,0.2553191489361702,30,199,0,1.0,13578.306532663317,3.201005025125628,investigation_results_kimi_k25.csv
deepseek32,199,0.7688442211055276,0.7006740765522966,0.7648099797900324,0.6012545193187264,0.7037037037037037,0.8636363636363636,0.7755102040816326,22,0.7391304347826086,0.8947368421052632,0.8095238095238095,19,0.865546218487395,0.824,0.8442622950819673,125,0.5,1.0,0.6666666666666666,3,0.4583333333333333,0.3666666666666666,0.4074074074074074,30,199,0,1.0,24857.90954773869,3.5376884422110555,investigation_results_deepseek32.csv
glm5,199,0.7537688442211056,0.6699812944257388,0.7512883129856888,0.5768346135485831,0.6333333333333333,0.8636363636363636,0.7307692307692307,22,0.75,0.7894736842105263,0.7692307692307693,19,0.8813559322033898,0.832,0.8559670781893004,125,0.5,1.0,0.6666666666666666,3,0.36,0.3,0.3272727272727272,30,190,9,0.9547738693467336,17497.72361809045,3.407035175879397,investigation_results_glm5.csv
gemini31_flash,199,0.7738693467336684,0.6614863453060031,0.7261402868833396,0.5722474325292572,0.5862068965517241,0.7727272727272727,0.6666666666666666,22,0.7083333333333334,0.8947368421052632,0.7906976744186046,19,0.8214285714285714,0.92,0.8679245283018868,125,0.75,1.0,0.8571428571428571,3,1.0,0.0666666666666666,0.125,30,199,0,1.0,11196.24623115578,2.341708542713568,investigation_results_gemini31_flash.csv
gpt5mini,199,0.7437185929648241,0.6540773078820004,0.7245723887963303,0.5486524948857067,0.6,0.9545454545454546,0.7368421052631579,22,0.7,0.7368421052631579,0.717948717948718,19,0.8467741935483871,0.84,0.8433734939759037,125,0.6,1.0,0.75,3,0.3333333333333333,0.1666666666666666,0.2222222222222222,30,199,0,1.0,12862.497487437186,2.3165829145728645,investigation_results_gpt5mini.csv
