method,n_samples,accuracy,macro_f1,weighted_f1,cohen_kappa,epidemic_precision,epidemic_recall,epidemic_f1,epidemic_support,environmental_precision,environmental_recall,environmental_f1,environmental_support,sampling_precision,sampling_recall,sampling_f1,sampling_support,mixed_precision,mixed_recall,mixed_f1,mixed_support,uncertain_precision,uncertain_recall,uncertain_f1,uncertain_support,prediction_rows,missing_predictions,coverage,avg_tokens,avg_tool_calls,source_file,display_name,color,total_tokens,total_tool_calls,completed_event_runs,coverage_pct,macro_f1_pct,accuracy_pct,tokens_k,tokens_m,tool_calls_k,tokens_per_correct,tokens_per_correct_k
v6_gpt4omini,199,0.7889447236180904,0.7668116460738851,0.7753583438026709,0.6187739463601531,0.75,0.8181818181818182,0.782608695652174,22,0.72,0.9473684210526316,0.8181818181818182,19,0.8449612403100775,0.872,0.8582677165354331,125,1.0,1.0,1.0,3,0.5,0.3,0.375,30,199,0,1.0,5606.587939698493,3.1155778894472363,investigation_results_v6_gpt4omini.csv,gpt-4o-mini (v6),#d96b5f,1115711.0,620.0,199,100.0,76.68116460738851,78.89447236180904,1115.711,1.115711,0.62,7106.4394904458595,7.10643949044586
qwen3_5_27b,199,0.7487437185929648,0.7587412663458662,0.756297363718246,0.5631749934146983,0.782608695652174,0.8181818181818182,0.8,22,0.8235294117647058,0.7368421052631579,0.7777777777777778,19,0.8487394957983193,0.808,0.8278688524590164,125,1.0,1.0,1.0,3,0.3513513513513513,0.4333333333333333,0.3880597014925373,30,190,9,0.9547738693467336,24980.70351758794,3.894472361809045,investigation_results_qwen3_5_27b.csv,Qwen3.5-27B,#4878a8,4746333.668341708,739.9497487437185,190,95.47738693467336,75.87412663458663,74.87437185929649,4746.333668341708,4.746333668341708,0.7399497487437184,31854.58837813227,31.85458837813227
grok41_fast,199,0.7738693467336684,0.7474650952911823,0.7590123201877627,0.5955284552845528,0.6333333333333333,0.8636363636363636,0.7307692307692307,22,0.7391304347826086,0.8947368421052632,0.8095238095238095,19,0.84251968503937,0.856,0.8492063492063492,125,1.0,1.0,1.0,3,0.5,0.2666666666666666,0.3478260869565217,30,199,0,1.0,10922.236180904523,3.110552763819096,investigation_results_grok41_fast.csv,Grok 4.1 Fast,#5ba05b,2173525.0,619.0000000000001,199,100.0,74.74650952911823,77.38693467336684,2173.525,2.173525,0.6190000000000001,14113.798701298701,14.113798701298702
haiku45,199,0.7537688442211056,0.7292856015399484,0.7464342234394903,0.5583986232507585,0.75,0.8181818181818182,0.782608695652174,22,0.6363636363636364,0.7368421052631579,0.6829268292682927,19,0.8346456692913385,0.848,0.8412698412698413,125,1.0,1.0,1.0,3,0.391304347826087,0.3,0.3396226415094339,30,199,0,1.0,11212.668341708542,2.170854271356784,investigation_results_haiku45.csv,Claude Haiku 4.5,#c89838,2231321.0,432.0,199,100.0,72.92856015399484,75.37688442211056,2231.321,2.231321,0.432,14875.473333333333,14.875473333333334
gpt54_nano,199,0.7487437185929648,0.7262282071298465,0.7510314714347172,0.5726679264731146,0.782608695652174,0.8181818181818182,0.8,22,0.6538461538461539,0.8947368421052632,0.7555555555555555,19,0.8608695652173913,0.792,0.825,125,0.75,1.0,0.8571428571428571,3,0.3870967741935484,0.4,0.3934426229508196,30,199,0,1.0,6371.869346733668,3.3115577889447234,investigation_results_gpt54_nano.csv,GPT-5.4 Nano,#8c8c8c,1268002.0,659.0,199,100.0,72.62282071298465,74.87437185929649,1268.002,1.268002,0.659,8510.080536912752,8.510080536912753
minimax47,199,0.7989949748743719,0.7255222188285069,0.7764937062540701,0.6253941361946445,0.6551724137931034,0.8636363636363636,0.7450980392156863,22,0.8333333333333334,0.7894736842105263,0.8108108108108109,19,0.8455882352941176,0.92,0.8812260536398467,125,0.75,1.0,0.8571428571428571,3,0.5833333333333334,0.2333333333333333,0.3333333333333333,30,199,0,1.0,16031.507537688442,3.452261306532664,investigation_results_minimax47.csv,MiniMax 2.7,#7a6ff0,3190270.0,687.0000000000001,199,100.0,72.55222188285069,79.89949748743719,3190.27,3.19027,0.6870000000000002,20064.591194968554,20.064591194968553
kimi_k25,199,0.7587939698492462,0.7102529884546536,0.7426055925675207,0.5663897589541059,0.6428571428571429,0.8181818181818182,0.72,22,0.6521739130434783,0.7894736842105263,0.7142857142857143,19,0.8515625,0.872,0.8616600790513834,125,1.0,1.0,1.0,3,0.3529411764705882,0.2,0.2553191489361702,30,199,0,1.0,13578.306532663317,3.201005025125628,investigation_results_kimi_k25.csv,Kimi K2.5,#ef8b2c,2702083.0,637.0,199,100.0,71.02529884546536,75.87939698492463,2702.083,2.702083,0.637,17894.58940397351,17.89458940397351
deepseek32,199,0.7688442211055276,0.7006740765522966,0.7648099797900324,0.6012545193187264,0.7037037037037037,0.8636363636363636,0.7755102040816326,22,0.7391304347826086,0.8947368421052632,0.8095238095238095,19,0.865546218487395,0.824,0.8442622950819673,125,0.5,1.0,0.6666666666666666,3,0.4583333333333333,0.3666666666666666,0.4074074074074074,30,199,0,1.0,24857.90954773869,3.5376884422110555,investigation_results_deepseek32.csv,DeepSeek 3.2,#2f9d8f,4946723.999999999,704.0,199,100.0,70.06740765522966,76.88442211055276,4946.723999999999,4.946723999999999,0.704,32331.5294117647,32.3315294117647
glm5,199,0.7537688442211056,0.6699812944257388,0.7512883129856888,0.5768346135485831,0.6333333333333333,0.8636363636363636,0.7307692307692307,22,0.75,0.7894736842105263,0.7692307692307693,19,0.8813559322033898,0.832,0.8559670781893004,125,0.5,1.0,0.6666666666666666,3,0.36,0.3,0.3272727272727272,30,190,9,0.9547738693467336,17497.72361809045,3.407035175879397,investigation_results_glm5.csv,GLM-5,#5e81ac,3324567.487437186,647.3366834170854,190,95.47738693467336,66.99812944257388,75.37688442211056,3324.5674874371857,3.3245674874371858,0.6473366834170854,22163.78324958124,22.16378324958124
gemini31_flash,199,0.7738693467336684,0.6614863453060031,0.7261402868833396,0.5722474325292572,0.5862068965517241,0.7727272727272727,0.6666666666666666,22,0.7083333333333334,0.8947368421052632,0.7906976744186046,19,0.8214285714285714,0.92,0.8679245283018868,125,0.75,1.0,0.8571428571428571,3,1.0,0.0666666666666666,0.125,30,199,0,1.0,11196.24623115578,2.341708542713568,investigation_results_gemini31_flash.csv,Gemini 3.1 Flash,#e8a838,2228053.0,466.00000000000006,199,100.0,66.14863453060032,77.38693467336684,2228.053,2.228053,0.4660000000000001,14467.876623376624,14.467876623376624
gpt5mini,199,0.7437185929648241,0.6540773078820004,0.7245723887963303,0.5486524948857067,0.6,0.9545454545454546,0.7368421052631579,22,0.7,0.7368421052631579,0.717948717948718,19,0.8467741935483871,0.84,0.8433734939759037,125,0.6,1.0,0.75,3,0.3333333333333333,0.1666666666666666,0.2222222222222222,30,199,0,1.0,12862.497487437186,2.3165829145728645,investigation_results_gpt5mini.csv,GPT-5 Mini,#6c757d,2559637.0,461.00000000000006,199,100.0,65.40773078820004,74.37185929648241,2559.637,2.559637,0.4610000000000001,17294.844594594593,17.294844594594593
