event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,uncertain,0.8,6,9979,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2023-12-27 (confidence=0.80, factors=hospitalization trend, precipitation, discharge percentile, nearby site corroboration)"
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,sampling,0.9,4,9382,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.90, factors=hospitalization_trend, weather, hydrology, nearby_sites)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,uncertain,0.8,6,9504,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.80, factors=hospitalization data, nearby sites, weather conditions, hydrology, wastewater signal trend)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,environmental,0.9,6,9923,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.90, factors=precipitation, discharge flow)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.9,4,8944,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.90, factors=precipitation, discharge)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,sampling,0.9,5,9250,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.90, factors=hospitalization data, weather conditions, hydrology, nearby sites)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,sampling,0.85,6,9569,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.85, factors=signal isolation, hospitalization data, weather and hydrology, nearby site corroboration)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.9,6,9503,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.90, factors=signal isolation, weather conditions, hydrology, hospitalization data, nearby site corroboration, variant dynamics)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,environmental,0.9,6,9854,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.90, factors=precipitation, discharge percentile)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.9,6,9766,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.90, factors=signal isolation, hospitalization data, weather events, discharge percentile)"
EVT-00011,NWSS_az_1059_Treatment plant_raw wastewater,2022-02-28,sampling,0.9,4,8626,"[sampling] NWSS_az_1059_Treatment plant_raw wastewater @ 2022-02-28 (confidence=0.90, factors=hospitalization trend, weather conditions, nearby site corroboration)"
EVT-00012,NWSS_az_1059_Treatment plant_raw wastewater,2024-05-20,uncertain,0.8,6,9139,"[uncertain] NWSS_az_1059_Treatment plant_raw wastewater @ 2024-05-20 (confidence=0.80, factors=hospitalization data, nearby sites, weather data, variant data)"
EVT-00013,NWSS_ga_2699_Treatment plant_raw wastewater,2022-06-05,epidemic,0.85,6,9585,"[epidemic] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-06-05 (confidence=0.85, factors=hospitalization trend, wastewater signal trend, variant stability)"
