event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,epidemic,0.8,6,16010,"[epidemic] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2023-12-27 (confidence=0.80, factors=hospitalization_increase, wastewater_trend)"
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,sampling,0.9,6,21572,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.90, factors=isolated single-point dip, no supporting environmental evidence, no clinical corroboration)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,uncertain,0.7,6,21518,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.70, factors=missing_clinical_data, no_nearby_corroboration, no_environmental_confounder, variant_shift)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,environmental,0.8,5,13236,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.80, factors=high_discharge_flow, recent_heavy_precipitation)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.85,6,25310,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.85, factors=rainfall_dilution)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,epidemic,0.75,6,19901,"[epidemic] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.75, factors=sustained wastewater signal increase, trend and changepoint detection, variant transition, no environmental confounders)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,uncertain,0.8,6,18832,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.80, factors=insufficient corroborating evidence, no environmental confounders, sustained trend signal)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.9,5,11602,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.90, factors=sampling artifact)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,environmental,0.85,6,22118,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.85, factors=heavy_rainfall)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.85,6,25003,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.85, factors=sampling error)"
EVT-00011,NWSS_az_1059_Treatment plant_raw wastewater,2022-02-28,sampling,0.95,6,18234,"[sampling] NWSS_az_1059_Treatment plant_raw wastewater @ 2022-02-28 (confidence=0.95, factors=sampling_error, no_environmental, no_epidemic)"
EVT-00012,NWSS_az_1059_Treatment plant_raw wastewater,2024-05-20,sampling,0.8,6,18769,"[sampling] NWSS_az_1059_Treatment plant_raw wastewater @ 2024-05-20 (confidence=0.80, factors=sampling_error)"
EVT-00013,NWSS_ga_2699_Treatment plant_raw wastewater,2022-06-05,epidemic,0.9,6,18604,"[epidemic] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-06-05 (confidence=0.90, factors=hospitalization_trend, wastewater_trend, silver_label)"
EVT-00014,NWSS_ga_2699_Treatment plant_raw wastewater,2022-08-07,sampling,0.9,6,23107,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-08-07 (confidence=0.90, factors=sampling_error)"
EVT-00015,NWSS_ga_2699_Treatment plant_raw wastewater,2022-11-13,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-11-13 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00016,NWSS_ga_2699_Treatment plant_raw wastewater,2023-03-13,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2023-03-13 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00017,NWSS_ga_2699_Treatment plant_raw wastewater,2023-05-22,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2023-05-22 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00018,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-15,sampling,0.75,8,20531,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-01-15 (confidence=0.75, factors=sampling_error, no_epidemic_corroboration)"
EVT-00019,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-28,uncertain,0.0,6,27589,"[uncertain] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-01-28 (confidence=0.00, factors=)"
EVT-00020,NWSS_ga_2699_Treatment plant_raw wastewater,2024-04-14,sampling,0.9,6,19086,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-04-14 (confidence=0.90, factors=sampling or laboratory issue)"
EVT-00021,NWSS_ga_2699_Treatment plant_raw wastewater,2024-06-16,sampling,0.8,5,11703,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-06-16 (confidence=0.80, factors=laboratory or sampling error)"
EVT-00022,NWSS_ga_2699_Treatment plant_raw wastewater,2025-02-02,sampling,0.9,6,13370,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2025-02-02 (confidence=0.90, factors=sampling_error)"
EVT-00023,NWSS_ga_2699_Treatment plant_raw wastewater,2025-03-16,environmental,0.95,5,12565,"[environmental] NWSS_ga_2699_Treatment plant_raw wastewater @ 2025-03-16 (confidence=0.95, factors=high_discharge_cso_risk)"
EVT-00024,NWSS_ga_2699_Treatment plant_raw wastewater,2025-06-23,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2025-06-23 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00025,NWSS_il_639_Treatment plant_raw wastewater,2022-03-15,sampling,0.95,6,20575,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-03-15 (confidence=0.95, factors=sampling_error)"
EVT-00026,NWSS_il_639_Treatment plant_raw wastewater,2022-06-09,environmental,0.92,6,21780,"[environmental] NWSS_il_639_Treatment plant_raw wastewater @ 2022-06-09 (confidence=0.92, factors=rainfall_dilution, high_discharge)"
EVT-00027,NWSS_il_639_Treatment plant_raw wastewater,2022-06-21,sampling,0.95,5,12874,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-06-21 (confidence=0.95, factors=isolated single-point spike, no environmental confounders, no clinical corroboration, no regional signal)"
EVT-00028,NWSS_il_639_Treatment plant_raw wastewater,2022-09-25,sampling,1.0,0,0,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-09-25 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00029,NWSS_il_639_Treatment plant_raw wastewater,2022-10-18,sampling,0.95,4,11952,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-10-18 (confidence=0.95, factors=sampling artifact)"
EVT-00030,NWSS_il_639_Treatment plant_raw wastewater,2023-01-26,sampling,0.95,5,12220,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2023-01-26 (confidence=0.95, factors=sampling_error)"
