event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,uncertain,0.65,6,25268,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2023-12-27 (confidence=0.65, factors=hospitalization_trend, signal_isolation, environmental_conditions, lack_of_corroboration, silver_label_consensus)"
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,sampling,0.78,6,29422,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.78, factors=isolated_single_point_changepoint, no_clinical_corroboration, flow_inadequate_for_environmental_classification, stable_variant_landscape)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,uncertain,0.6,6,7516,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.60, factors=sustained_signal_increase, variant_replacement, lack_of_environmental_confounders, missing_clinical_corroboration)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,environmental,0.82,5,11482,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.82, factors=peak_flow_discharge, heavy_precipitation, first_flush_hydraulics)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.92,5,34452,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.92, factors=heavy_precipitation, elevated_discharge, signal_dilution_pattern)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,epidemic,0.85,6,28932,"[epidemic] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.85, factors=sustained_signal_trend, variant_replacement, trend_detection_method, absence_of_environmental_confounders)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,uncertain,0.7,6,28071,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.70, factors=sustained_signal_shift, missing_clinical_data, no_regional_corroboration, moderate_flow_elevation)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.75,6,17769,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.75, factors=isolated_single_point, normal_hydrological_conditions, value_at_historical_median, no_clinical_corroboration)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,environmental,0.75,7,28364,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.75, factors=heavy_rainfall, sustained_signal_trend, low_flow_conditions)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.7,6,7743,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.70, factors=isolated_signal_pattern, no_environmental_confounders, no_clinical_corroboration, silver_label_consensus)"
