event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,sampling,0.72,6,22966,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2023-12-27 (confidence=0.72, factors=erratic_signal_oscillation, isolated_anomaly_point, stable_hospitalization_trend, no_variant_shifts)"
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,sampling,0.82,6,35130,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.82, factors=isolated_duration, no_environmental_support, no_clinical_corroboration, dip_pattern)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,epidemic,0.68,8,23659,"[epidemic] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.68, factors=sustained_trend_detection, variant_shift, no_environmental_dilution, discharge_threshold_not_met)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,sampling,0.65,6,20424,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.65, factors=isolated_duration, peak_zscore_zero, environmental_context, no_clinical_corroboration)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.92,6,26076,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.92, factors=heavy_rainfall_dilution, elevated_discharge_flow, isolated_signal_dip)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,epidemic,0.62,7,25045,"[epidemic] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.62, factors=sustained_signal_elevation, trend_detection, rising_trend_magnitude, missing_clinical_data)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,uncertain,0.55,6,25051,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.55, factors=sustained_signal_decline, no_dilution_signal, no_variant_changes, data_gaps)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.78,6,41469,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.78, factors=isolated_single_point, normal_value_at_median, no_environmental_support, falling_signal_trend)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,sampling,0.78,6,29753,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.78, factors=isolated_spike_pattern, peak_zscore_zero, contradicts_dilution_mechanism, no_corroboration)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.65,7,21584,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.65, factors=isolated_spike, no_environmental_data, no_clinical_corroboration, no_variant_shift)"
