event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,sampling,0.85,7,38540,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.85, factors=isolated_single_day_event, no_environmental_cause, no_clinical_corroboration, no_variant_change)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,uncertain,0.75,6,26766,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.75, factors=sustained_signal, no_environmental_cause, variant_shift, missing_clinical_data)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,environmental,0.85,7,56059,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.85, factors=high_discharge_percentile, recent_heavy_rainfall, isolated_spike)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.75,8,44916,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.75, factors=heavy_rainfall, elevated_discharge, no_clinical_corroboration)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,sampling,0.75,6,43617,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.75, factors=expert_panel_consensus, no_environmental_cause, no_clinical_corroboration, no_regional_corroboration)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,uncertain,0.0,10,66845,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.00, factors=)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.85,7,49372,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.85, factors=isolated_single_point, no_environmental_driver, no_clinical_corroboration, low_statistical_deviation)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,environmental,0.75,9,74638,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.75, factors=precipitation, signal_pattern, lack_of_clinical_corroboration)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.85,9,68844,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.85, factors=isolated_spike, no_environmental_factors, no_clinical_corroboration, no_nearby_corroboration, silver_label_consensus)"
EVT-00011,NWSS_az_1059_Treatment plant_raw wastewater,2022-02-28,sampling,0.85,8,39529,"[sampling] NWSS_az_1059_Treatment plant_raw wastewater @ 2022-02-28 (confidence=0.85, factors=isolated_single_point_anomaly, declining_hospitalization_trend, no_environmental_evidence, no_nearby_corroboration)"
EVT-00012,NWSS_az_1059_Treatment plant_raw wastewater,2024-05-20,uncertain,0.0,10,40955,"[uncertain] NWSS_az_1059_Treatment plant_raw wastewater @ 2024-05-20 (confidence=0.00, factors=)"
EVT-00013,NWSS_ga_2699_Treatment plant_raw wastewater,2022-06-05,epidemic,0.75,9,48407,"[epidemic] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-06-05 (confidence=0.75, factors=hospitalization_trend, wastewater_signal_sustained, silver_label_consensus)"
